206,Alberto Turco & Nova Schola Gregoriana,IT
207,"Richard Marlow & The Choir of Trinity College, Cambridge",GB
208,English Concert & Trevor Pinnock,GB
209,"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",DE
210,"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer",US
211,Wilhelm Kempff,DE
212,Yo-Yo Ma,US
213,Scholars Baroque Ensemble,GB
214,Academy of St. Martin in the Fields & Sir Neville Marriner,GB
215,Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,GB
216,"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer",DE
217,Royal Philharmonic Orchestra & Sir Thomas Beecham,GB
218,Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,FR
219,"Britten Sinfonia, Ivor Bolton & Lesley Garrett",GB
220,"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",US
221,Sir Georg Solti & Wiener Philharmoniker,GB
222,"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",GB
223,London Symphony Orchestra & Sir Charles Mackerras,GB
224,Barry Wordsworth & BBC Concert Orchestra,GB
225,"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",DE
226,Eugene Ormandy,US
227,Luciano Pavarotti,IT
228,Leonard Bernstein & New York Philharmonic,US
229,Boston Symphony Orchestra & Seiji Ozawa,US
230,Aaron Copland & London Symphony Orchestra,US
231,Ton Koopman,NL
232,Sergei Prokofiev & Yuri Temirkanov,RU
233,Chicago Symphony Orchestra & Fritz Reiner,US
234,Orchestra of The Age of Enlightenment,GB
235,"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",US
236,James Levine,US
237,Berliner Philharmoniker & Hans Rosbaud,DE
238,Maurizio Pollini,IT
239,"Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett",GB
240,Gustav Mahler,AT
241,"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",GB
242,Edo de Waart & San Francisco Symphony,US
243,Antal Doráti & London Symphony Orchestra,HU
244,Choir Of Westminster Abbey & Simon Preston,GB
245,Michael Tilson Thomas & San Francisco Symphony,US
246,"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",DE
247,The King's Singers,GB
248,Berliner Philharmoniker & Herbert Von Karajan,DE
249,"Sir Georg Solti, Sumi Jo & Wiener Philharmoniker",GB
250,Christopher O'Riley,US
251,Fretwork,GB
252,Amy Winehouse,GB
253,Calexico,US
254,Otto Klemperer & Philharmonia Orchestra,DE
255,Yehudi Menuhin,GB
256,Philharmonia Orchestra & Sir Neville Marriner,GB
257,"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",GB
258,Les Arts Florissants & William Christie,FR
259,The 12 Cellists of The Berlin Philharmonic,DE
260,Adrian Leaper & Doreen de Feis,GB
261,"Roger Norrington, London Classical Players",GB
262,Charles Dutoit & L'Orchestre Symphonique de Montréal,CA
263,"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",GB
264,Kent Nagano and Orchestre de l'Opéra de Lyon,US
265,Julian Bream,GB
266,Martin Roscoe,GB
267,Göteborgs Symfoniker & Neeme Järvi,SE
268,Itzhak Perlman,IL
269,Michele Campanella,IT
270,Gerald Moore,GB
271,"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",CZ
272,Emerson String Quartet,US
273,"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu",GB
274,Nash Ensemble,GB
275,Philip Glass Ensemble,US
